ge_qname	ge_hostname	ge_group	ge_owner	ge_job_name	ge_job_number	ge_account	ge_account_prio	tmp_submission_time	tmp_start_time	tmp_end_time	ge_failed	ge_exit_status	ge_ru_wallclock	ge_ru_utime	ge_ru_stime	ge_ru_maxrss	ge_ru_ixrss	ge_ru_ismrss	ge_ru_idrss	ge_ru_isrss	ge_ru_minflt	ge_ru_majflt	ge_ru_nswap	ge_ru_inblock	ge_ru_oublock	ge_ru_msgsnd	ge_ru_msgrcv	ge_ru_nsignals	ge_ru_nvcsw	ge_ru_nivcsw	ge_project	ge_department	ge_granted_pe	ge_slots	ge_task_number	ge_cpu	ge_mem	ge_io	ge_category	ge_iow	ge_pe_taskid	ge_maxvmem	ge_arid	tmp_ar_submission_time	ge_submission_time	ge_start_time	ge_end_time	ge_ar_submission_time
production	cn3-223.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_indelRealigner	6151930	sge	0	1392314824	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	defaultdepartment	NONE	1	0	0	0	0	-U production -u lheisler -q production -l h_stack=256M,h_vmem=16G	0	NONE	0	0	0	2014-02-13 13:07:04	0000-00-00 00:00:00	0000-00-00 00:00:00	2014-02-14 08:20:29
production	cn3-223.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_indelRealigner	6151931	sge	0	1392314824	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	defaultdepartment	NONE	1	0	0	0	0	-U production -u lheisler -q production -l h_stack=256M,h_vmem=16G	0	NONE	0	0	0	2014-02-13 13:07:04	0000-00-00 00:00:00	0000-00-00 00:00:00	2014-02-14 08:20:29
production	cn3-240.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_fixmate	6151959	sge	0	1392314825	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	defaultdepartment	NONE	1	0	0	0	0	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	0	0	0	2014-02-13 13:07:05	0000-00-00 00:00:00	0000-00-00 00:00:00	2014-02-18 09:53:08
production	cn3-249.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_unifiedGenotyperIndel	6152068	sge	0	1392314830	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	defaultdepartment	NONE	1	0	0	0	0	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	0	0	0	2014-02-13 13:07:10	0000-00-00 00:00:00	0000-00-00 00:00:00	2014-03-11 13:23:28
production	cn3-249.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_unifiedGenotyperIndel	6152077	sge	0	1392314831	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NONE	defaultdepartment	NONE	1	0	0	0	0	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	0	0	0	2014-02-13 13:07:11	0000-00-00 00:00:00	0000-00-00 00:00:00	2014-03-11 13:23:28
production	cn3-139.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_index	6151902	sge	0	1392314823	1392314830	1392320768	0	0	5938	5691	252	1510704	0	0	0	0	437727	30	0	303477352	25688	0	0	0	0	627032	NONE	defaultdepartment	NONE	1	0	5943	25475	145	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	4612448256	0	0	2014-02-13 13:07:03	2014-02-13 13:07:10	2014-02-13 14:46:08	2014-06-17 22:43:57
production	cn6-21.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_index	6151903	sge	0	1392314823	1392314830	1392320570	0	0	5740	5683	119	1575568	0	0	0	0	494702	3	0	308063656	25112	0	0	0	0	778184	NONE	defaultdepartment	NONE	1	0	5802	25162	147	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	4686798848	0	0	2014-02-13 13:07:03	2014-02-13 13:07:10	2014-02-13 14:42:50	2014-06-17 22:43:57
production	cn8-29.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_index	6151904	sge	0	1392314823	1392314830	1392319685	0	0	4855	4915	92	1549336	0	0	0	0	471229	7	0	292138384	25504	0	0	0	0	967421	NONE	defaultdepartment	NONE	1	0	5007	21855	139	-U production -u lheisler -q production -l h_stack=256M,h_vmem=6G	0	NONE	4744110080	0	0	2014-02-13 13:07:03	2014-02-13 13:07:10	2014-02-13 14:28:05	2014-06-17 22:43:57
production	cn3-247.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151905	sge	0	1392314823	1392320782	1392338041	0	0	17259	17700	61	5560580	0	0	0	0	2474768	2	0	75526248	70848	0	0	0	0	3822159	NONE	defaultdepartment	NONE	1	0	17761	291293	44	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17634316288	0	0	2014-02-13 13:07:03	2014-02-13 14:46:22	2014-02-13 19:34:01	2014-06-17 22:44:15
production	cn8-34.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151906	sge	0	1392314823	1392321148	1392336879	0	0	15731	16050	64	4607876	0	0	0	0	3889708	1	0	78634032	73936	0	0	0	0	1950081	NONE	defaultdepartment	NONE	1	0	16115	265793	45	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17767620608	0	0	2014-02-13 13:07:03	2014-02-13 14:52:28	2014-02-13 19:14:39	2014-06-17 22:44:15
production	cn3-238.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151907	sge	0	1392314823	1392321152	1392335581	0	0	14429	14837	56	4666824	0	0	0	0	3411708	19	0	66057888	61208	0	0	0	0	2936526	NONE	defaultdepartment	NONE	1	0	14893	244314	38	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17633554432	0	0	2014-02-13 13:07:03	2014-02-13 14:52:32	2014-02-13 18:53:01	2014-06-17 22:44:14
production	cn8-39.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151908	sge	0	1392314823	1392321262	1392332985	0	0	11723	11916	38	5551616	0	0	0	0	2786840	2	0	61705312	56120	0	0	0	0	2178382	NONE	defaultdepartment	NONE	1	0	11954	196152	36	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17630609408	0	0	2014-02-13 13:07:03	2014-02-13 14:54:22	2014-02-13 18:09:45	2014-06-17 22:44:14
production	cn3-244.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151909	sge	0	1392314823	1392321298	1392334236	0	0	12938	13376	53	5552504	0	0	0	0	2272837	3	0	59957728	54952	0	0	0	0	3032946	NONE	defaultdepartment	NONE	1	0	13428	220289	35	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17628884992	0	0	2014-02-13 13:07:03	2014-02-13 14:54:58	2014-02-13 18:30:36	2014-06-17 22:44:14
production	cn8-36.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151910	sge	0	1392314823	1392321316	1392334608	0	0	13292	13256	43	6012712	0	0	0	0	2138364	2	0	55113984	53392	0	0	0	0	1371300	NONE	defaultdepartment	NONE	1	0	13299	217400	32	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17564344320	0	0	2014-02-13 13:07:03	2014-02-13 14:55:16	2014-02-13 18:36:48	2014-06-17 22:44:14
production	cn3-223.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151911	sge	0	1392314823	1392321373	1392330982	0	0	9609	9901	41	5560912	0	0	0	0	3013020	25	0	50859592	45816	0	0	0	0	1841273	NONE	defaultdepartment	NONE	1	0	9943	163152	29	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17642156032	0	0	2014-02-13 13:07:03	2014-02-13 14:56:13	2014-02-13 17:36:22	2014-06-17 22:44:13
production	cn8-29.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151912	sge	0	1392314823	1392321380	1392331423	0	0	10043	10197	47	5564388	0	0	0	0	1925861	14	0	47949776	44392	0	0	0	0	1801311	NONE	defaultdepartment	NONE	1	0	10244	167829	28	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17692565504	0	0	2014-02-13 13:07:03	2014-02-13 14:56:20	2014-02-13 17:43:43	2014-06-17 22:44:13
production	cn3-238.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151913	sge	0	1392314823	1392321626	1392329080	0	0	7454	7708	29	4374688	0	0	0	0	1467472	2	0	36447272	34520	0	0	0	0	1587444	NONE	defaultdepartment	NONE	1	0	7737	126757	21	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17628000256	0	0	2014-02-13 13:07:03	2014-02-13 15:00:26	2014-02-13 17:04:40	2014-06-17 22:44:10
production	cn3-242.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151914	sge	0	1392314823	1392321811	1392331071	0	0	9260	9527	36	4383716	0	0	0	0	1679560	15	0	43787360	41256	0	0	0	0	2071475	NONE	defaultdepartment	NONE	1	0	9563	156887	25	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17630773248	0	0	2014-02-13 13:07:03	2014-02-13 15:03:31	2014-02-13 17:37:51	2014-06-17 22:44:13
production	cn3-243.hpc.oicr.on.ca	oicruser	lheisler	gatk_HALT0001.bam_realignerTargetCreator	6151915	sge	0	1392314823	1392321884	1392331032	0	0	9148	9433	34	4383824	0	0	0	0	1514167	3	0	43148224	42472	0	0	0	0	2054139	NONE	defaultdepartment	NONE	1	0	9467	155281	25	-U production -u lheisler -q production -l h_stack=256M,h_vmem=20G,mem_free=20G	0	NONE	17681018880	0	0	2014-02-13 13:07:03	2014-02-13 15:04:44	2014-02-13 17:37:12	2014-06-17 22:44:13
